"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13001","Login with invalid credentials -- @1.1 ","","2026-03-30","passed","2026-03-30","","","",""
"","15679","Register with mandatory fields","","2026-03-30","passed","2026-03-30","","","",""
"","12849","Verify the remove icon on cart page","","2026-03-30","passed","2026-03-30","","","",""
"","14322","Register without providing last_name","","2026-03-30","passed","2026-03-30","","","",""
"","13246","Verify the update icon on cart page","","2026-03-30","passed","2026-03-30","","","",""
"","13105","Add product into cart and use coupon code","","2026-03-30","passed","2026-03-30","","","",""
"","14202","Register without providing first_name","","2026-03-30","passed","2026-03-30","","","",""
"","13391","Login with invalid email and valid password -- @1.1 ","","2026-03-30","passed","2026-03-30","","","",""
"","16445","Register with a duplicate email address","","2026-03-30","passed","2026-03-30","","","",""
"","22662","Register without providing '@' in email field","","2026-03-30","passed","2026-03-30","","","",""
"","13610","Login without entering any credentials","","2026-03-30","broken","2026-03-30","","","",""
"","17312","Login with valid email and invalid password -- @1.1 ","","2026-03-30","passed","2026-03-30","","","",""
"","10979","Search without entering any product","","2026-03-30","passed","2026-03-30","","","",""
"","13476","Verify continue shopping button on cart page","","2026-03-30","passed","2026-03-30","","","",""
"","11627","Search for a valid product","","2026-03-30","passed","2026-03-30","","","",""
"","15465","Estimate the shipping and taxes","","2026-03-30","passed","2026-03-30","","","",""
"","13450","Use Gift certificate","","2026-03-30","passed","2026-03-30","","","",""
"","13411","Login with valid credentials -- @1.1 ","","2026-03-30","passed","2026-03-30","","","",""
"","13359","Add single product into cart and checkout","","2026-03-30","passed","2026-03-30","","","",""
"","14390","Verify forget password link","","2026-03-30","passed","2026-03-30","","","",""
"","14037","Verify the continue button on cart page","","2026-03-30","passed","2026-03-30","","","",""
"","14993","Register without providing any details","","2026-03-30","passed","2026-03-30","","","",""
"","11634","Search for an invalid product","","2026-03-30","passed","2026-03-30","","","",""
